Genus,Epithet,Authority,Family,Type,Prepared,Date,Site,State,County
Heracleum,sphondylium,L.,Apiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Cymopterus,lemmonii,(J.M. Coult. & Rose) Dorn,Apiaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Ligusticum,porteri,J.M. Coult. & Rose,Apiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Osmorhiza,depauperata,Phil.,Apiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Maianthemum,stellatum,(L.) Link,Asparagaceae,Physical,P.J.C,2014,Gothic,CO,Gunnison
Achillea,millefolium,L.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Erigeron,speciosus,(Lind.) DC.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Erigeron,flagellaris,A. Gray,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Helianthella,quinquenervis,(Hook.) A. Gray,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Heliomeris,multiflora,Nutt.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Heterotheca,villosa,(Pursh) Shinners,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Hymenoxys,hoopesii,(A. Gray) Bierner,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Senecio,wootonii,Greene,Asteraceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Senecio,integerrimus,Nutt.,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Symphyotrichum,foliaceum,(Lindl. Ex DC.) G.L. Nesom,Asteraceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Taraxacum,officinale,F.H. Wigg,Asteraceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Lappula,squarrosa,(Retz.) Dumort.,Boraginaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Mertensia,ciliata,(James ex Torr.) G. Don,Boraginaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Mertensia,fusiformis,Greene,Boraginaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Boechera,stricta,(Graham) Al-Shebhaz,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Cardamine,cordifolia,A. Gray,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Draba,spectabilis,Greene,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Draba,aurea,Vahl. Ex Hornem,Brassicaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Erysimum,capitatum,(Douglas ex Hook.) Greene,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Thlaspi,arvense,L.,Brassicaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Campanula,rotundifolia,L.,Campanulaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Lonicera,involucrata,(Richardson) Banks ex Spreng.,Caprifoliaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Stellaria,longifolia,Muh. Ex. Willd.,Caryophyllaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Lathyrus,lanszwertii var. leucanthus,(Rydb.) Dorn,Fabaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Lupinus,argenteus,Pursh,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Lupinus,crassus,Payson,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Lupinus,sericeus,Pursh,Fabaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Trifolium,hybridum,L.,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Trifolium,pratense,L.,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Vicia,americana,Muhl. Ex Willd.,Fabaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Iris,missouriensis,Nutt.,Iridaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Erythronium,grandiflorum,Pursh,Liliaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Zigadenus,elegans,Pursh,Melanthiaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Castilleja,miniata,Douglas ex Hook.,Orobanchaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Castilleja,sulphurea,Rydb.,Orobanchaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Pedicularis,groenlandica,Retz.,Orobanchaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Corydalis,aurea,Willd.,Papaveraceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Erythranthe,guttata,(DC.) G.L. Nesom,Phyrmaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Polemonium,foliosissimum,A. Gray,Polemoniaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Polemonium,viscosum,Nutt.,Polemoniaceae,Physical,P.J.C.,2010,Gothic,CO,Gunnison
Bistorta,bistortoides,(Pursh) Small,Polygonaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Aquilegia,coerulea,E. James,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Aquilegia,elegantula,Greene,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Delphinium,barbeyi,(Huth) Huth,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Delphinium,nuttallianum,Pritz. Ex Walp.,Ranunculaceae,Physical,P.J.C.,2014,Gothic,CO,Gunnison
Ranunculus,alismifolius,Geyer ex Benth.,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Ranunculus,inamoenus,Greene,Ranunculaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Dasiphora,fruticosa,(L.) Rydb.,Rosaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Fragaria,virginiana,Duchesne,Rosaceae,Physical,P.J.C,2014,Gothic,CO,Gunnison
Geum,triflorum,Pursh,Rosaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Potentilla,biennis,Greene,Rosaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Potentilla,pulcherrima,Lehm.,Rosaceae,Physical,P.J.C,2014,Gothic,CO,Gunnison
Mitella,stauropetala,Piper,Saxifragaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Valeriana,occidentalis,A. Heller,Valerianaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
Viola,canadensis,L.,Violaceae,Image,H.M.B.,2010,Gothic,CO,Gunnison
