"","family"
"1","Anarthriaceae"
"2","Bromeliaceae"
"3","Cyperaceae"
"4","Ecdeiocoleaceae"
"5","Eriocaulaceae"
"6","Flagellariaceae"
"7","Joinvilleaceae"
"8","Juncaceae"
"9","Mayacaceae"
"10","Poaceae"
"11","Rapateaceae"
"12","Restionaceae"
"13","Thurniaceae"
"14","Typhaceae"
"15","Xyridaceae"
"16","Psilotaceae"
"17","Ophioglossaceae"
"18","Adiantaceae"
"19","Aspleniaceae"
"20","Athyriaceae"
"21","Blechnaceae"
"22","Cyatheaceae"
"23","Cystopteridaceae"
"24","Cystopteridaceae"
"25","Davalliaceae"
"26","Dennstaedtiaceae"
"27","Dicksoniaceae"
"28","Dipteridaceae"
"29","Dryopteridaceae"
"30","Equisetaceae"
"31","Gleicheniaceae"
"32","Grammitidaceae"
"33","Hymenophyllaceae"
"34","Hymenophyllopsidaceae"
"35","Isoetaceae"
"36","Lomariopsidaceae"
"37","Loxsomataceae"
"38","Lycopodiaceae"
"39","Marattiaceae"
"40","Marsileaceae"
"41","Matoniaceae"
"42","Metaxyaceae"
"43","Oleandraceae"
"44","Ophioglossaceae"
"45","Osmundaceae"
"46","Plagiogyriaceae"
"47","Polypodiaceae"
"48","Psilotaceae"
"49","Pteridaceae"
"50","Salviniaceae"
"51","Schizaeaceae"
"52","Selaginellaceae"
"53","Thelypteridaceae"
"54","Vittariaceae"
"55","Woodsiaceae"
"56","Pinaceae"
"57","Ephedraceae"
"58","Cupressaceae"
"59","Taxaceae"
"60","Celtidaceae"
"61","Cannabaceae"
"62","Moraceae"
"63","Urticaceae"
"64","Elaeagnaceae"
"65","Barbeyaceae"
"66","Juglandaceae"
"67","Myricaceae"
"68","Betulaceae"
"69","Casuarinaceae"
"70","Fagaceae"
"71","Acrobolbaceae"
"72","Adelanthaceae"
"73","Allisoniaceae"
"74","Amblystegiaceae"
"75","Anastrophyllaceae"
"76","Andreaeaceae"
"77","Andreaeobryaceae"
"78","Aneuraceae"
"79","Antheliaceae"
"80","Anthocerotaceae"
"81","Archidiaceae"
"82","Arnelliaceae"
"83","Aulacomniaceae"
"84","Aytoniaceae"
"85","Balantiopsaceae"
"86","Bartramiaceae"
"87","Blasiaceae"
"88","Brachytheciaceae"
"89","Brevianthaceae"
"90","Bruchiaceae"
"91","Bryaceae"
"92","Bryobartramiaceae"
"93","Bryoxiphiaceae"
"94","Buxbaumiaceae"
"95","Calomniaceae"
"96","Calymperaceae"
"97","Calypogeiaceae"
"98","Catagoniaceae"
"99","Catoscopiaceae"
"100","Cephaloziaceae"
"101","Cephaloziellaceae"
"102","Chaetophyllopsaceae"
"103","Chonecoleaceae"
"104","Cinclidotaceae"
"105","Cleveaceae"
"106","Climaciaceae"
"107","Conocephalaceae"
"108","Corsiniaceae"
"109","Cryphaeaceae"
"110","Cyrtopodaceae"
"111","Daltoniaceae"
"112","Dendrocerotaceae"
"113","Dicnemonaceae"
"114","Dicranaceae"
"115","Diphysciaceae"
"116","Disceliaceae"
"117","Ditrichaceae"
"118","Echinodiaceae"
"119","Encalyptaceae"
"120","Entodontaceae"
"121","Ephemeraceae"
"122","Erpodiaceae"
"123","Eustichiaceae"
"124","Exormothecaceae"
"125","Fabroniaceae"
"126","Fissidentaceae"
"127","Fontinalaceae"
"128","Fossombroniaceae"
"129","Funariaceae"
"130","Geocalycaceae"
"131","Gigaspermaceae"
"132","Goebeliellaceae"
"133","Grimmiaceae"
"134","Gymnomitriaceae"
"135","Gyrothyraceae"
"136","Haplomitriaceae"
"137","Hedwigiaceae"
"138","Helicophyllaceae"
"139","Herbertaceae"
"140","Hookeriaceae"
"141","Hylocomiaceae"
"142","Hymenophytaceae"
"143","Hypnaceae"
"144","Hypnodendraceae"
"145","Hypopterygiaceae"
"146","Jackiellaceae"
"147","Jubulaceae"
"148","Jubulopsaceae"
"149","Jungermanniaceae"
"150","Lejeuneaceae"
"151","Lembophyllaceae"
"152","Lepicoleaceae"
"153","Lepidolaenaceae"
"154","Lepidoziaceae"
"155","Leptodontaceae"
"156","Lepyrodontaceae"
"157","Leskeaceae"
"158","Leucodontaceae"
"159","Leucomiaceae"
"160","Lophocoleaceae"
"161","Lophoziaceae"
"162","Lunulariaceae"
"163","Makinoaceae"
"164","Marchantiaceae"
"165","Mastigophoraceae"
"166","Meesiaceae"
"167","Mesoptychiaceae"
"168","Meteoriaceae"
"169","Metzgeriaceae"
"170","Microtheciellaceae"
"171","Mitteniaceae"
"172","Mizutaniaceae"
"173","Mniaceae"
"174","Monocarpaceae"
"175","Monocleaceae"
"176","Monosoleniaceae"
"177","Myriniaceae"
"178","Myuriaceae"
"179","Neckeraceae"
"180","Neotrichocoleaceae"
"181","Notothyladaceae"
"182","Octoblepharaceae"
"183","Oedipodiaceae"
"184","Orthorrhynchiaceae"
"185","Orthotrichaceae"
"186","Oxymitraceae"
"187","Pallaviciniaceae"
"188","Pelliaceae"
"189","Phyllodrepaniaceae"
"190","Phyllogoniaceae"
"191","Pilotrichaceae"
"192","Plagiochilaceae"
"193","Plagiotheciaceae"
"194","Pleurophascaceae"
"195","Pleuroziaceae"
"196","Pleuroziopsaceae"
"197","Polytrichaceae"
"198","Porellaceae"
"199","Pottiaceae"
"200","Prionodontaceae"
"201","Pseudoditrichaceae"
"202","Pseudolepicoleaceae"
"203","Pterigynandraceae"
"204","Pterobryaceae"
"205","Ptilidiaceae"
"206","Ptychomitriaceae"
"207","Ptychomniaceae"
"208","Racopilaceae"
"209","Radulaceae"
"210","Regmatodontaceae"
"211","Rhabdoweisiaceae"
"212","Rhachitheciaceae"
"213","Rhacocarpaceae"
"214","Rhizogoniaceae"
"215","Ricciaceae"
"216","Riellaceae"
"217","Rigodiaceae"
"218","Rutenbergiaceae"
"219","Scapaniaceae"
"220","Schistochilaceae"
"221","Schistostegaceae"
"222","Scorpidiaceae"
"223","Seligeriaceae"
"224","Sematophyllaceae"
"225","Serpotortellaceae"
"226","Sorapillaceae"
"227","Sphaerocarpaceae"
"228","Sphagnaceae"
"229","Spiridentaceae"
"230","Splachnaceae"
"231","Splachnobryaceae"
"232","Stereophyllaceae"
"233","Takakiaceae"
"234","Targioniaceae"
"235","Tetraphidaceae"
"236","Thamnobryaceae"
"237","Theliaceae"
"238","Thuidiaceae"
"239","Timmiaceae"
"240","Trachypodaceae"
"241","Treubiaceae"
"242","Trichocoleaceae"
"243","Trichotemnomataceae"
"244","Vandiemeniaceae"
"245","Vetaformaceae"
"246","Viridivelleraceae"
"247","Wardiaceae"
"248","Wiesnerellaceae"
"249","Pelliaceae"
"250","Phyllothalliaceae"
"251","Sandeothallaceae"
"252","Moerckiaceae"
"253","Hymenophytaceae"
"254","Pallaviciniaceae"
"255","Calyculariaceae"
"256","Makinoaceae"
"257","Fossombroniaceae"
"258","Allisoniaceae"
"259","Petalophyllaceae"
"260","Pleuroziaceae"
"261","Metzgeriaceae"
"262","Aneuraceae"
"263","Porellaceae"
"264","Goebeliellaceae"
"265","Lepidolaenaceae"
"266","Radulaceae"
"267","Frullaniaceae"
"268","Jubulaceae"
"269","Lejeuneaceae"
"270","Herzogianthaceae"
"271","Ptilidiaceae"
"272","Neotrichocoleaceae"
"273","Schistochilaceae"
"274","Lophocoleaceae"
"275","Plagiochilaceae"
"276","Lepicoleaceae"
"277","Lepidoziaceae"
"278","Pseudolepicoleaceae"
"279","Blepharostomataceae"
"280","Trichocoleaceae"
"281","Grolleaceae"
"282","Mastigophoraceae"
"283","Herbertaceae"
"284","Cephaloziineae"
"285","Adelanthaceae"
"286","Anastrophyllaceae"
"287","Cephaloziaceae"
"288","Cephaloziellaceae"
"289","Scapaniaceae"
"290","Lophoziaceae"
"291","Myliaceae"
"292","Arnelliaceae"
"293","Blepharidophyllaceae"
"294","Endogemmataceae"
"295","Harpanthaceae"
"296","Hygrobiellaceae"
"297","Jackiellaceae"
"298","Notoscyphaceae"
"299","Saccogynaceae"
"300","Southbyaceae"
"301","Trichotemnomataceae"
"302","Balantiopsidaceae"
"303","Chonecoleaceae"
"304","Brevianthaceae"
"305","Geocalycaceae"
"306","Gyrothyraceae"
"307","Solenostomataceae"
"308","Stephaniellaceae"
"309","Acrobolbaceae"
"310","Calypogeiaceae"
"311","Jungermanniaceae"
"312","Antheliaceae"
"313","Gymnomitriaceae"
